bin,mean_predicted_probability,observed_frequency,absolute_calibration_error
1,0.1564319180982474,0.3333333333333333,0.1769014152350858
2,0.2654947769937971,0.2016806722689075,0.0638141047248895
3,0.3776798126392632,0.3734023128423615,0.0042774997969016
4,0.4354374917118007,0.4466928420416792,0.0112553503298785
5,0.5273718943498075,0.5789473684210527,0.0515754740712451
6,0.6731313927796804,0.7352941176470589,0.0621627248673785
7,0.763385788261207,0.7650421179302046,0.0016563296689976
8,0.8272114048510146,0.8424242424242424,0.0152128375732277
9,0.9532112710931112,0.9526690391459076,0.0005422319472037
