experiment,seed,model,mean_roc_auc,std_roc_auc,min_roc_auc,max_roc_auc
random_seed,7,Logistic Regression,0.7296594368719411,0.002644731700523321,0.7276017894480481,0.7344146531316278
random_seed,7,CART,0.7301419821252606,0.002791951404187812,0.7261944512439654,0.7348808904614627
random_seed,7,Random Forest,0.7305280124402596,0.003110498643931143,0.727597324067894,0.7365343659628738
random_seed,21,Logistic Regression,0.7290904233857525,0.003138119668718516,0.724774342269565,0.7330285527831404
random_seed,21,CART,0.7295933273647986,0.003170432002928138,0.7249779892504725,0.733248247476731
random_seed,21,Random Forest,0.730877447112146,0.0028307662962199697,0.7267484036832299,0.7349461696039441
random_seed,42,Logistic Regression,0.7295668931470229,0.0019522268720458132,0.7268673053869921,0.732726912094988
random_seed,42,CART,0.7301898515440267,0.0015496208127881836,0.7287024981720245,0.7330401764021867
random_seed,42,Random Forest,0.7310430023616764,0.002113072851926818,0.7283957579104516,0.7341448011730244
random_seed,84,Logistic Regression,0.7298009807947464,0.004021139798677236,0.7228030751340798,0.7340281900650308
random_seed,84,CART,0.7304323345910572,0.003194388823879797,0.7251483896709313,0.7341963295419509
random_seed,84,Random Forest,0.7313350170325157,0.0035703647319731743,0.7255357481014664,0.7348415513488997
random_seed,123,Logistic Regression,0.7299775989820616,0.0016833037177315133,0.726800147613108,0.7315562879214443
random_seed,123,CART,0.7295707869321661,0.0010173440289445003,0.7277322085965398,0.7306405502299567
random_seed,123,Random Forest,0.7310098763771709,0.0008264448134016005,0.7294210872381325,0.7318045390477732
