model,accuracy,precision,recall,f1,roc_auc,pr_auc,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std
XGBoost,0.696487923775759,0.839296683046683,0.5521822590422307,0.6661182205971968,0.7299064930651735,0.8005070194568377,0.730333785293579,0.0041152191833682085,0.8007834644536432,0.0031849928308433015
LightGBM,0.696487923775759,0.8401847575057737,0.5513234996969084,0.6657719758433478,0.7305012600192308,0.8010846598071415,0.7299805318822024,0.004386236735427304,0.8005231670974765,0.003503710271679515
