feature_group,mean_abs_shap,relative_importance
Shipping Mode,1.3334099825347563,0.905925485600143
Order Region,0.07927449752161696,0.05385949453179995
Product Price,0.02751330387583814,0.018692677796518054
Order Item Quantity,0.015848254408350904,0.01076738419454998
Market,0.01582996440973044,0.010754957876989065
