model,accuracy,precision,recall,f1,roc_auc,delta_roc_auc,delta_f1
Baseline,0.6967372036339464,0.8501543576347661,0.5425338452212568,0.6623701008356718,0.7302437616942755,0.0,0.0
Kalman Hybrid,0.6967372036339464,0.8501543576347661,0.5425338452212568,0.6623701008356718,0.7304603333075119,0.0002165716132364,0.0
