Logistic Regression,CART,Random Forest
0.7268673053869921,0.7287024981720245,0.7283957579104516
0.7283657396338714,0.729812602909047,0.7310106545986856
0.7297564914395661,0.7289752179367144,0.7291576604669073
0.7301180171796969,0.7304187623001611,0.7325061376593125
0.732726912094988,0.7330401764021867,0.7341448011730244
0.7281921441045782,0.7251065697604876,0.7281811509290975
0.7315689369288007,0.7339061173211574,0.7344595117304755
0.7328743185396613,0.7301877606330709,0.731236714190408
0.7269092530170258,0.7290706960444658,0.7301512758441226
0.7303697768449888,0.7314715455072576,0.7333132693255241
0.7372747419279264,0.7346877463465232,0.7356790990787586
0.7322115358926637,0.729585944941723,0.7323292533185242
0.7270355458024065,0.7289965648758866,0.7274706188182003
0.7282268391332083,0.7292368344878367,0.7294168763972851
0.7264007849528057,0.7262226622859783,0.7288793605761483
