model,accuracy,precision,recall,f1,roc_auc,pr_auc,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std
LightGBM,0.696487923775759,0.8401847575057737,0.5513234996969084,0.6657719758433478,0.7305012600192308,0.8010846598071415,0.7300177929014018,0.002794954608659,0.8004618834278896,0.0021511972249775
XGBoost,0.696487923775759,0.839296683046683,0.5521822590422307,0.6661182205971968,0.7299064930651735,0.8005070194568377,0.729728747760385,0.002599789222621,0.8003188320951339,0.0020856762777509
