model,threshold,precision,recall,f1,roc_auc,pr_auc,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std
CART,0.3,0.5509047051383222,0.9945138769613142,0.7090407485575573,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
Logistic Regression,0.3,0.5491238892315901,0.9983228426806228,0.7085257421482862,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Random Forest,0.3,0.5496091969358371,0.998888630691979,0.7090721967417692,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
